name,source_url,image_url,gender,hair_color,hair_style,eye_style,face_shape,expression,skin_tone,beard,body_type,age_vibe,cute_level,cool_level,dark_level,funny_level,power_level,match_tags,match_note,species,hair_length,eye_size,hero_level,evil_level,energy_level,confidence_level
Charlotte Tablet,https://onepiece.fandom.com/wiki/Charlotte_Tablet,https://static.wikia.nocookie.net/onepiece/images/c/c1/Charlotte_Tablet_Anime_Infobox.png/revision/latest?cb=20191028083927,male,blonde,wavy,round,round,smirk,light,none,average,young,4,6,2,5,7,"anime,character,smirk,sword",강한 자신감이 느껴진다.,human,medium,medium,5,3,8,7
Charlotte Pudding,https://onepiece.fandom.com/wiki/Charlotte_Pudding,https://static.wikia.nocookie.net/onepiece/images/6/60/Charlotte_Pudding_Anime_Infobox.png/revision/latest?cb=20250106015531,female,blonde,pigtails,round,oval,neutral,fair,none,curvy,young,8,4,1,2,5,"anime,female,blonde,pigtails,cute",귀여운 느낌이 강하다.,human,long,large,3,1,6,5
Charlotte Wiro,https://onepiece.fandom.com/wiki/Charlotte_Wiro,https://static.wikia.nocookie.net/onepiece/images/a/a7/Charlotte_Wiro_Anime_Infobox.png/revision/latest?cb=20190220131305,male,red,spiky,simple,long,smiling,light,none,slim,young,3,5,1,7,4,"anime, funny, quirky",재미있는 캐릭터입니다.,human,short,medium,2,1,6,5
Charlotte Marble,https://onepiece.fandom.com/wiki/Charlotte_Marble,https://static.wikia.nocookie.net/onepiece/images/d/dc/Charlotte_Marble_Anime_Infobox.png/revision/latest?cb=20190210133123,female,pink,wavy,sharp,oval,angry,light,none,slim,young,4,7,3,2,8,"anime, female, action, strong",강력한 캐릭터의 느낌입니다.,human,long,medium,6,2,9,8
Charlotte Citron,https://onepiece.fandom.com/wiki/Charlotte_Citron,https://static.wikia.nocookie.net/onepiece/images/5/5b/Charlotte_Citron_Anime_Infobox.png/revision/latest?cb=20190203104804,female,orange,wavy,round,round,confident,light,none,curvy,adult,5,6,1,4,7,"curvy, confident, colorful",매우 자신감 넘치는 모습입니다.,human,long,medium,3,1,6,8
Charlotte Mondée,https://onepiece.fandom.com/wiki/Charlotte_Mond%C3%A9e,https://static.wikia.nocookie.net/onepiece/images/b/bf/Charlotte_Mond%C3%A9e_Anime_Infobox.png/revision/latest?cb=20181028141559,female,blue,wavy,sharp,round,confident,brown,none,curvy,adult,5,7,2,3,8,"confident, curvy, strong, stylish",강력한 느낌의 캐릭터입니다.,human,long,medium,4,1,6,9
Charlotte Angel,https://onepiece.fandom.com/wiki/Charlotte_Angel,https://static.wikia.nocookie.net/onepiece/images/3/35/Charlotte_Angel_Anime_Infobox.png/revision/latest?cb=20181019103814,female,purple,wavy,sharp,oval,confident,light,none,slim,young,5,7,2,3,6,"anime,female,purple hair,confident",강한 자신감을 가진 캐릭터입니다.,human,medium,medium,4,1,8,9
Charlotte Montb,https://onepiece.fandom.com/wiki/Charlotte_Montb,https://static.wikia.nocookie.net/onepiece/images/c/cf/Charlotte_Montb_Anime_Infobox.png/revision/latest?cb=20190217032907,male,pink,curly,round,round,angry,light,none,large,adult,2,3,1,4,6,"anime, character, villain, humorous",재미있는 캐릭터입니다.,human,medium,large,2,3,5,7
Charlotte Mash,https://onepiece.fandom.com/wiki/Charlotte_Mash,https://static.wikia.nocookie.net/onepiece/images/f/f7/Charlotte_Mash_Anime_Infobox.png/revision/latest?cb=20181019104128,female,brown,wavy,narrow,round,confident,light,none,curvy,adult,3,4,2,5,6,"confident, curvy, wavy hair, playful",강한 인상을 주는 캐릭터입니다.,human,long,small,2,1,7,8
Charlotte Broyé,https://onepiece.fandom.com/wiki/Charlotte_Broy%C3%A9,https://static.wikia.nocookie.net/onepiece/images/a/a5/Charlotte_Broy%C3%A9_Anime_Infobox.png/revision/latest?cb=20200223061328,female,pink,wavy,almond,oval,serious,light,none,curvy,adult,5,7,2,1,8,"queen, elegant, powerful",우아한 왕비의 느낌입니다.,human,medium,medium,6,3,7,9
Charlotte Maple,https://onepiece.fandom.com/wiki/Charlotte_Maple,https://static.wikia.nocookie.net/onepiece/images/e/ea/Charlotte_Maple_Manga_Infobox.png/revision/latest?cb=20181020074217,female,unknown,unknown,unknown,unknown,unknown,unknown,none,curvy,adult,3,5,2,4,6,"curvy, confident, playful",재미있고 자신감 넘치는 모습입니다.,human,unknown,unknown,4,1,5,7
Charlotte Compo,https://onepiece.fandom.com/wiki/Charlotte_Compo,https://static.wikia.nocookie.net/onepiece/images/4/46/Charlotte_Compo_Anime_Infobox.png/revision/latest?cb=20180722081431,female,yellow,hat,round,round,neutral,light,none,slim,young,7,5,2,4,6,"anime,character,hero",귀여운 캐릭터입니다.,human,short,small,5,1,6,5
Charlotte Basans,https://onepiece.fandom.com/wiki/Charlotte_Basans,https://static.wikia.nocookie.net/onepiece/images/7/72/Charlotte_Basans_Anime_Infobox.png/revision/latest?cb=20190125001535,male,brown,spiky,round,square,angry,light,none,average,adult,2,4,5,3,6,"angry, spiky hair, average build",강한 인상을 주는 캐릭터입니다.,human,short,medium,2,4,7,6
Charlotte Basskarte,https://onepiece.fandom.com/wiki/Charlotte_Basskarte,https://static.wikia.nocookie.net/onepiece/images/8/84/Charlotte_Basskarte_Anime_Infobox.png/revision/latest?cb=20180924183245,male,orange,spiky,narrow,round,angry,light,none,average,adult,2,6,4,3,8,"fire, angry, villain, anime",강렬한 불의 힘을 가진 캐릭터입니다.,human,long,small,2,5,7,8
Charlotte Cinnamon,https://onepiece.fandom.com/wiki/Charlotte_Cinnamon,https://static.wikia.nocookie.net/onepiece/images/d/dd/Charlotte_Cinnamon_Anime_Infobox.png/revision/latest?cb=20190203104624,female,red,long and straight,sharp,oval,confident,light,none,athletic,young adult,5,8,2,3,7,"confident, athletic, stylish",매력적인 모습입니다.,human,long,medium,6,1,8,9
Charlotte Dolce and Dragée,https://onepiece.fandom.com/wiki/Charlotte_Dolce_and_Drag%C3%A9e,https://static.wikia.nocookie.net/onepiece/images/0/06/Charlotte_Dolce_and_Drag%C3%A9e_Anime_Infobox.png/revision/latest?cb=20171015021417,male,brown,spiky,round,round,happy,light,none,chubby,childlike,8,2,1,7,1,"happy, chubby, playful, colorful",귀엽고 유쾌한 느낌입니다.,human,short,large,1,1,6,5
Charlotte Laurin,https://onepiece.fandom.com/wiki/Charlotte_Laurin,https://static.wikia.nocookie.net/onepiece/images/e/e6/Charlotte_Laurin_Anime_Infobox.png/revision/latest?cb=20180617140002,male,black,short,round,square,angry,light,none,muscular,adult,2,5,7,3,8,"angry, muscular, villain",강렬한 인상입니다.,human,short,medium,4,6,7,8
Charlotte Mascarpone,https://onepiece.fandom.com/wiki/Charlotte_Mascarpone,https://static.wikia.nocookie.net/onepiece/images/b/bd/Charlotte_Mascarpone_Anime_Infobox.png/revision/latest?cb=20171030014803,male,black,curly,wide,long,joyful,light,none,slim,young,7,3,1,8,4,"anime,character,funny",재미있는 캐릭터입니다.,human,short,large,2,1,6,5
Charlotte Hachée,https://onepiece.fandom.com/wiki/Charlotte_Hach%C3%A9e,https://static.wikia.nocookie.net/onepiece/images/a/aa/Charlotte_Hach%C3%A9e_Manga_Infobox.png/revision/latest?cb=20181020074924,female,light,wavy,sharp,oval,confident,fair,none,slim,young,4,8,3,2,7,"confident, stylish, adventurous",강렬한 매력을 가진 캐릭터입니다.,human,long,medium,5,2,6,9
Charlotte Mozart,https://onepiece.fandom.com/wiki/Charlotte_Mozart,https://static.wikia.nocookie.net/onepiece/images/7/7f/Charlotte_Mozart_Anime_Infobox.png/revision/latest?cb=20181020133405,female,black,spiky,stylized,oval,smirking,light,none,slim,young,4,7,6,3,8,"anime, villain, stylish, playful",매력적인 악당의 느낌입니다.,human,long,large,2,7,9,8
Charlotte Anglais,https://onepiece.fandom.com/wiki/Charlotte_Anglais,https://static.wikia.nocookie.net/onepiece/images/5/53/Charlotte_Anglais_Anime_Infobox.png/revision/latest?cb=20181020104856,male,black,slicked back,angry,round,angry,light,none,average,young,2,4,5,3,6,"angry, young, slicked back hair, average build",강한 인상을 주는 캐릭터입니다.,human,short,medium,2,4,7,6
Charlotte Wafers,https://onepiece.fandom.com/wiki/Charlotte_Wafers,https://static.wikia.nocookie.net/onepiece/images/f/f6/Charlotte_Wafers_Anime_Infobox.png/revision/latest?cb=20181020102206,female,light,covered,sharp,round,angry,light,none,slim,young,3,2,4,5,3,"angry, young, unique, cartoon",독특한 외모의 캐릭터입니다.,human,short,medium,1,2,6,5
Charlotte Brownie,https://onepiece.fandom.com/wiki/Charlotte_Brownie,https://static.wikia.nocookie.net/onepiece/images/9/91/Charlotte_Brownie_Anime_Infobox.png/revision/latest?cb=20190324131404,male,pink,spiky,sharp,angular,smiling,light,none,muscular,adult,3,7,2,5,8,"anime, villain, flamboyant",강렬한 캐릭터입니다.,human,medium,large,4,6,9,8
Charlotte Joconde,https://onepiece.fandom.com/wiki/Charlotte_Joconde,https://static.wikia.nocookie.net/onepiece/images/9/99/Charlotte_Joconde_Anime_Infobox.png/revision/latest?cb=20190120090320,female,blonde,curly,round,round,serious,light,none,average,young,5,3,1,4,6,"knight, serious, cute, determined",강한 의지를 가진 캐릭터입니다.,human,medium,medium,4,1,5,6
Charlotte Panna,https://onepiece.fandom.com/wiki/Charlotte_Panna,https://static.wikia.nocookie.net/onepiece/images/9/91/Charlotte_Panna_Manga_Infobox.png/revision/latest?cb=20190122023834,female,light,straight,round,oval,smiling,light,none,slim,young,7,3,1,4,2,"anime,cute,smiling,light_hair",귀여운 느낌이야.,human,medium,medium,3,1,5,4
Charlotte Allmeg,https://onepiece.fandom.com/wiki/Charlotte_Allmeg,https://static.wikia.nocookie.net/onepiece/images/6/62/Charlotte_Allmeg_Anime_Infobox.png/revision/latest?cb=20190312135442,female,brown,curly,sharp,oval,smiling,light,none,slim,young,8,5,1,4,3,"anime,female,smiling,curly hair,pink dress",귀엽고 자신감 넘치는 모습입니다.,human,long,medium,6,1,7,8
Charlotte Cabaletta,https://onepiece.fandom.com/wiki/Charlotte_Cabaletta,https://static.wikia.nocookie.net/onepiece/images/c/c5/Charlotte_Cabaletta_Anime_Infobox.png/revision/latest?cb=20180123093308,male,brown,long,angry,square,angry,light,full,muscular,adult,2,5,3,4,8,"muscular, angry, beard, long hair",강력한 느낌의 캐릭터입니다.,human,medium,large,3,6,7,9
Charlotte Marnier,https://onepiece.fandom.com/wiki/Charlotte_Marnier,https://static.wikia.nocookie.net/onepiece/images/0/00/Charlotte_Marnier_Anime_Infobox.png/revision/latest?cb=20220128065829,female,pink,afro,sharp,oval,serious,light,none,slim,adult,2,6,4,3,7,"anime,female,pink hair,serious",강렬한 인상을 주는 캐릭터입니다.,human,long,medium,3,5,6,8
Charlotte Brûlée,https://onepiece.fandom.com/wiki/Charlotte_Br%C3%BBl%C3%A9e,https://static.wikia.nocookie.net/onepiece/images/d/d9/Charlotte_Br%C3%BBl%C3%A9e_Anime_Infobox.png/revision/latest?cb=20170611174235,female,purple,long,wide,oval,fearful,light,none,slim,young adult,4,3,6,2,5,"anime,female,character,purple hair",무서운 분위기를 가지고 있습니다.,human,very long,large,1,7,5,3
Charlotte Smoothie,https://onepiece.fandom.com/wiki/Charlotte_Smoothie,https://static.wikia.nocookie.net/onepiece/images/c/c5/Charlotte_Smoothie_Anime_Infobox.png/revision/latest?cb=20180423150946,female,white,wavy,sharp,oval,confident,light,none,tall,young adult,4,8,2,1,9,"warrior, elegant, strong, stylish",강력한 전사 같은 느낌입니다.,human,long,medium,3,2,7,9
Charlotte Fuyumeg,https://onepiece.fandom.com/wiki/Charlotte_Fuyumeg,https://static.wikia.nocookie.net/onepiece/images/2/22/Charlotte_Fuyumeg_Anime_Infobox.png/revision/latest?cb=20190312135458,female,brown,straight,large,oval,neutral,light,none,slim,young,7,4,1,2,3,"anime, character, female, cute, dress",귀여운 느낌의 캐릭터입니다.,human,medium,big,5,1,6,5
Charlotte Poire,https://onepiece.fandom.com/wiki/Charlotte_Poire,https://static.wikia.nocookie.net/onepiece/images/5/57/Charlotte_Poire_Anime_Infobox.png/revision/latest?cb=20200315062453,female,red,wavy,round,oval,confident,light,none,curvy,young,5,7,2,4,6,"anime, confident, stylish, playful",매력적인 캐릭터입니다.,human,medium,large,3,1,8,9
Charlotte Nougat,https://onepiece.fandom.com/wiki/Charlotte_Nougat,https://static.wikia.nocookie.net/onepiece/images/e/e4/Charlotte_Nougat_Anime_Infobox.png/revision/latest?cb=20190210134653,male,red,spiky,sharp,angular,serious,tan,none,muscular,adult,2,8,5,1,9,"muscular,serious,spiky hair",강력한 느낌의 캐릭터입니다.,human,short,medium,7,3,8,9
Charlotte Normande,https://onepiece.fandom.com/wiki/Charlotte_Normande,https://static.wikia.nocookie.net/onepiece/images/3/3b/Charlotte_Normande_Anime_Infobox.png/revision/latest?cb=20181019183301,female,brown,straight,round,oval,happy,light,none,slim,young,8,2,1,5,3,"cute, happy, fairy, playful",귀엽고 행복한 느낌이에요.,human,medium,large,4,1,7,6
Charlotte Akimeg,https://onepiece.fandom.com/wiki/Charlotte_Akimeg,https://static.wikia.nocookie.net/onepiece/images/f/f2/Charlotte_Akimeg_Anime_Infobox.png/revision/latest?cb=20190312135426,female,brown,bun,round,oval,smiling,light,none,slim,young,8,5,2,3,4,"cute, playful, stylish",귀엽고 활기찬 느낌입니다.,human,medium,medium,6,1,7,6
Charlotte Custard,https://onepiece.fandom.com/wiki/Charlotte_Custard,https://static.wikia.nocookie.net/onepiece/images/d/da/Charlotte_Custard_Anime_Infobox.png/revision/latest?cb=20181118084826,female,purple,short,sharp,oval,serious,light,none,slim,young,5,7,2,1,8,"royalty, warrior, confident",강력한 왕족의 느낌입니다.,human,medium,medium,6,1,7,9
Charlotte Chiboust,https://onepiece.fandom.com/wiki/Charlotte_Chiboust,https://static.wikia.nocookie.net/onepiece/images/6/65/Charlotte_Chiboust_Anime_Infobox.png/revision/latest?cb=20190120111957,male,blue,spiky,narrow,round,serious,light,none,large,adult,2,5,3,4,7,"anime, character, serious, large",강력한 캐릭터의 느낌입니다.,human,short,medium,6,2,5,6
Vinsmoke Niji,https://onepiece.fandom.com/wiki/Vinsmoke_Niji,https://static.wikia.nocookie.net/onepiece/images/d/d6/Vinsmoke_Niji_Anime_Infobox.png/revision/latest?cb=20180618054009,male,blue,flowing,round,oval,smirking,light,none,slim,young,4,8,3,5,7,"anime, blue hair, glasses, smirk",매력적인 캐릭터입니다.,human,long,medium,6,2,8,9
Germa 66,https://onepiece.fandom.com/wiki/Germa_66,https://static.wikia.nocookie.net/onepiece/images/8/81/Germa_66_Infobox.png/revision/latest?cb=20170423194825,male,blonde,spiky,sharp,angular,confident,light,none,muscular,young,3,8,4,2,9,"anime,male,hero,confident",강력한 캐릭터의 느낌입니다.,human,short,medium,7,3,8,9
Époni,https://onepiece.fandom.com/wiki/%C3%89poni,https://static.wikia.nocookie.net/onepiece/images/c/c1/%C3%89poni_Anime_Infobox.png/revision/latest?cb=20170903021553,female,black,straight,angry,round,angry,light,none,large,adult,2,3,4,5,6,"angry, maid, large, expressive",강한 인상을 주는 캐릭터입니다.,human,long,medium,2,3,7,8
Conquest of Four Nations,https://onepiece.fandom.com/wiki/Conquest_of_Four_Nations,https://static.wikia.nocookie.net/onepiece/images/6/6a/Conquest_of_Four_Nations_Infobox.png/revision/latest?cb=20170618021041,male,blonde,long,narrow,angular,menacing,light,none,muscular,middle-aged,1,8,7,1,9,"anime,male,blonde,long hair,menacing",강력한 존재감이 느껴진다.,human,long,medium,2,8,7,9
Cosette,https://onepiece.fandom.com/wiki/Cosette,https://static.wikia.nocookie.net/onepiece/images/2/24/Cosette_Anime_Infobox.png/revision/latest?cb=20170806154804,female,blonde,straight,round,oval,worried,light,none,slim,young,7,3,1,2,2,"anime, female, blonde, worried",귀여운 캐릭터입니다.,human,medium,large,3,1,4,3
Nyasha,https://onepiece.fandom.com/wiki/Nyasha,https://static.wikia.nocookie.net/onepiece/images/1/11/Nyasha_Anime_Infobox.png/revision/latest?cb=20171102215310,male,white,none,round,round,happy,light,none,chubby,young,8,3,1,7,2,"cat, cute, happy, chubby",귀엽고 행복한 느낌입니다.,cat,short,small,1,0,6,5
NEO MADS,https://onepiece.fandom.com/wiki/NEO_MADS,https://static.wikia.nocookie.net/onepiece/images/0/08/NEO_MADS_Infobox.png/revision/latest?cb=20231209135300,male,white,long,sharp,angular,confident,light,none,muscular,adult,2,8,7,1,9,"anime,male,confident,powerful",강력한 캐릭터의 느낌입니다.,human,long,medium,6,4,8,9
"Sora, Warrior of the Sea","https://onepiece.fandom.com/wiki/Sora,_Warrior_of_the_Sea",https://static.wikia.nocookie.net/onepiece/images/5/5a/Sora%2C_Warrior_of_the_Sea_Infobox.png/revision/latest?cb=20240125020838,male,black,short,round,oval,confident,light,none,athletic,young adult,4,8,2,3,7,"warrior, sea, hero, confident",바다의 전사 같은 느낌입니다.,human,short,medium,9,1,8,9
Beryl,https://onepiece.fandom.com/wiki/Beryl,https://static.wikia.nocookie.net/onepiece/images/d/d5/NoPicAvailable.png/revision/latest?cb=20210110135101,,,,,,,,,,,0,0,0,0,0,,비주얼이 보이지 않습니다.,,,,0,0,0,0
Mercenary,https://onepiece.fandom.com/wiki/Mercenary,https://static.wikia.nocookie.net/onepiece/images/9/97/Yeti_Cool_Brothers_Anime_Infobox.png/revision/latest?cb=20230112041930,male,black,long,narrow,angular,serious,light,none,muscular,adult,2,8,6,1,9,"mercenary, serious, muscular, cold",강렬한 느낌의 캐릭터입니다.,human,medium,small,3,4,7,8
Iwatobi,https://onepiece.fandom.com/wiki/Iwatobi,https://static.wikia.nocookie.net/onepiece/images/7/7a/Iwatobi_Anime_Infobox.png/revision/latest?cb=20210629091551,male,white,messy,narrow,angular,serious,light,full,muscular,old,2,6,3,1,8,"old,serious,muscular",강력한 느낌의 캐릭터입니다.,human,medium,small,7,1,5,9
Moqueca,https://onepiece.fandom.com/wiki/Moqueca,https://static.wikia.nocookie.net/onepiece/images/5/50/Moqueca_Anime_Infobox.png/revision/latest?cb=20210629085748,male,"green, pink, yellow",spiky,round,round,smiling,light,none,average,adult,3,2,1,8,4,"colorful, cheerful, animated",재미있는 캐릭터입니다.,human,short,large,2,1,7,6
Mari,https://onepiece.fandom.com/wiki/Mari,https://static.wikia.nocookie.net/onepiece/images/0/02/Mari_Anime_Infobox.png/revision/latest?cb=20210702154811,male,white,wavy,round,round,curious,light,full,heavyset,old,2,3,1,4,5,"king, food, curious",재미있는 왕의 모습입니다.,human,long,medium,2,1,3,4
Taylor,https://onepiece.fandom.com/wiki/Taylor,https://static.wikia.nocookie.net/onepiece/images/b/b6/Taylor_Infobox.png/revision/latest?cb=20201027004934,male,blonde,wavy,normal,oval,confident,light,none,slim,young,6,8,2,3,7,"anime, stylish, confident, fantasy",매우 멋진 캐릭터입니다.,human,medium,medium,6,1,7,9
Stroganoff,https://onepiece.fandom.com/wiki/Stroganoff,https://static.wikia.nocookie.net/onepiece/images/8/89/Stroganoff_Manga_Infobox.png/revision/latest?cb=20210702154137,male,white,messy,squared,round,serious,light,full,large,old,2,6,3,4,7,"beard, serious, large, old",강력한 느낌의 캐릭터입니다.,human,medium,small,5,2,5,8
Donquixote Shivercalero,https://onepiece.fandom.com/wiki/Donquixote_Shivercalero,https://static.wikia.nocookie.net/onepiece/images/b/ba/Donquixote_Shivercalero_Anime_Infobox.png/revision/latest?cb=20241101171340,male,blonde,curly,narrow,round,angry,light,light stubble,heavyset,middle-aged,2,3,4,5,6,"angry, heavyset, curly hair, villain",강력한 악당의 느낌입니다.,human,medium,small,2,7,5,6
Donquixote Mjosgard,https://onepiece.fandom.com/wiki/Donquixote_Mjosgard,https://static.wikia.nocookie.net/onepiece/images/0/0d/Donquixote_Mjosgard_Anime_Infobox.png/revision/latest?cb=20191215162804,male,green,unique,narrow,angular,serious,light,light stubble,muscular,adult,2,5,4,3,7,"serious,unique,green hair",강렬한 인상을 주는 캐릭터입니다.,human,short,medium,3,5,6,8
Officer,https://onepiece.fandom.com/wiki/Officer,https://static.wikia.nocookie.net/onepiece/images/0/00/Donquixote_Pirates_Wake_up%21.png/revision/latest?cb=20140323093342,female,green,curly,round,round,playful,light,none,slim,young,8,4,1,5,3,"anime,cute,playful,green hair",귀엽고 장난기 가득한 모습입니다.,human,medium,large,2,1,7,6
Ekie,https://onepiece.fandom.com/wiki/Ekie,https://static.wikia.nocookie.net/onepiece/images/1/1b/Ekie_Infobox.png/revision/latest?cb=20230415062402,male,brown,wavy,slightly droopy,oval,neutral,light,goatee,slim,adult,3,5,2,4,6,"anime, character, male, human",재미있는 캐릭터입니다.,human,medium,medium,3,1,5,4
Omoino Family,https://onepiece.fandom.com/wiki/Omoino_Family,https://static.wikia.nocookie.net/onepiece/images/d/d5/NoPicAvailable.png/revision/latest?cb=20210110135101,,,,,,,,,,,0,0,0,0,0,,비주얼이 보이지 않습니다.,,,,0,0,0,0
Machvise,https://onepiece.fandom.com/wiki/Machvise,https://static.wikia.nocookie.net/onepiece/images/6/6e/Machvise_Anime_Infobox.png/revision/latest?cb=20140916075009,male,blonde,curly,round,round,smiling,light,full,large,adult,3,4,1,6,7,"muscular, cheerful, quirky",재미있고 유쾌한 느낌입니다.,human,medium,medium,2,1,5,6
Dejide,https://onepiece.fandom.com/wiki/Dejide,https://static.wikia.nocookie.net/onepiece/images/a/a9/Dejide_Infobox.png/revision/latest?cb=20230415062356,male,brown,short,round,long,neutral,light,none,slim,young,3,5,2,4,6,"anime,male,neutral,young",비교적 중립적인 느낌입니다.,human,short,large,5,1,7,6
Kyuin,https://onepiece.fandom.com/wiki/Kyuin,https://static.wikia.nocookie.net/onepiece/images/3/3d/Kyuin_Anime_Infobox.png/revision/latest?cb=20150510163904,female,blonde,pigtails,round,round,smiling,light,none,large,adult,5,3,1,7,6,"anime,female,smiling,pigtails,large",재미있고 자신감 넘치는 모습입니다.,human,long,large,2,1,8,7
Nerine (Non-Canon),https://onepiece.fandom.com/wiki/Nerine_(Non-Canon),https://static.wikia.nocookie.net/onepiece/images/f/f8/Nerine_%28Non-Canon%29_Infobox.png/revision/latest?cb=20230103021715,male,dark brown,wavy,normal,oval,serious,light,none,athletic,adult,2,7,3,1,6,"serious, athletic, cool",강한 느낌이 듭니다.,human,short,medium,5,1,4,6
Buffalo,https://onepiece.fandom.com/wiki/Buffalo,https://static.wikia.nocookie.net/onepiece/images/a/ab/Buffalo_Anime_Infobox.png/revision/latest?cb=20131104002420,male,black,short,round,round,smiling,light,none,large,adult,3,5,2,7,6,"anime, character, funny, large",재미있는 캐릭터입니다.,human,short,large,4,1,8,7
Lao G,https://onepiece.fandom.com/wiki/Lao_G,https://static.wikia.nocookie.net/onepiece/images/5/52/Lao_G_Anime_Infobox.png/revision/latest?cb=20141202204639,male,gray,bald,narrow,wrinkled,serious,light,goatee,muscular,old,1,7,3,2,8,"old, muscular, serious, hero",강력한 느낌의 캐릭터입니다.,human,short,small,6,2,5,9
Tigerman,https://onepiece.fandom.com/wiki/Tigerman,https://static.wikia.nocookie.net/onepiece/images/3/36/Tigerman_Infobox.png/revision/latest?cb=20210809014042,male,"yellow, black",spiky,cat-like,round,playful,light,none,muscular,young,7,6,2,8,5,"anthropomorphic, playful, vibrant",귀엽고 에너지가 넘치는 캐릭터입니다.,anthropomorphic,short,medium,4,1,9,8
Senor Pink,https://onepiece.fandom.com/wiki/Senor_Pink,https://static.wikia.nocookie.net/onepiece/images/4/48/Senor_Pink_Anime_Infobox.png/revision/latest?cb=20241014120619,male,black,short,round,round,confident,light,none,large,adult,3,5,2,8,6,"anime, funny, unique, bold",재미있는 캐릭터입니다.,human,short,medium,4,1,7,9
Bartholomew Just a Kuma,https://onepiece.fandom.com/wiki/Bartholomew_Just_a_Kuma,https://static.wikia.nocookie.net/onepiece/images/c/c8/Bartholomew_Just_a_Kuma_Manga_Infobox.png/revision/latest?cb=20240409195514,male,white,fluffy,round,round,happy,light,none,large,adult,8,5,1,7,6,"bear, cute, fluffy, happy",귀여운 곰 캐릭터입니다.,bear,short,large,4,1,5,6
Weatheria,https://onepiece.fandom.com/wiki/Weatheria,https://static.wikia.nocookie.net/onepiece/images/e/e5/Weatheria_Infobox.png/revision/latest?cb=20171008165842,,,,,,,,,,,0,0,0,0,0,,비주얼이 매우 환상적입니다.,,,,0,0,0,0
Pacifista,https://onepiece.fandom.com/wiki/Pacifista,https://static.wikia.nocookie.net/onepiece/images/8/80/Pacifista_Infobox.png/revision/latest?cb=20230212223256,male,black,curly,narrow,square,serious,light,none,muscular,adult,2,8,5,1,9,"muscular,serious,anime",강력한 느낌의 캐릭터입니다.,human,short,medium,6,2,7,8
S-Bear,https://onepiece.fandom.com/wiki/S-Bear,https://static.wikia.nocookie.net/onepiece/images/d/da/S-Bear_Anime_Infobox.png/revision/latest?cb=20240630021710,male,white,hat,round,square,serious,light,none,muscular,adult,3,7,2,5,8,"muscular,serious,anime",강력한 캐릭터의 느낌입니다.,human,short,medium,6,1,7,8
One Piece Seven Warlords Cellphone Strap,https://onepiece.fandom.com/wiki/One_Piece_Seven_Warlords_Cellphone_Strap,https://static.wikia.nocookie.net/onepiece/images/6/6a/Shichi_strap-mihawk.png/revision/latest?cb=20130725150525,male,brown,wavy,sharp,angular,smirking,light,none,slim,adult,3,8,6,2,7,"anime,character,one_piece,warlord",강렬한 카리스마를 가진 캐릭터입니다.,human,medium,medium,2,5,6,8
Bulldog,https://onepiece.fandom.com/wiki/Bulldog,https://static.wikia.nocookie.net/onepiece/images/d/d0/Bulldog_Anime_Infobox.png/revision/latest?cb=20250615155335,male,white,bald,narrow,long,serious,light,goatee,thin,old,2,4,3,1,5,"old, serious, wise",강력한 느낌의 캐릭터입니다.,human,short,small,2,3,4,6
Kuma no Kodo,https://onepiece.fandom.com/wiki/Kuma_no_Kodo,https://static.wikia.nocookie.net/onepiece/images/9/9a/Kuma_no_Kodo.png/revision/latest?cb=20170715230935,male,black,short,simple,round,serious,dark,none,muscular,adult,2,8,5,3,9,"muscular, serious, powerful, cool",강력한 느낌의 캐릭터입니다.,human,short,medium,7,2,6,8
Clapp,https://onepiece.fandom.com/wiki/Clapp,https://static.wikia.nocookie.net/onepiece/images/3/39/Clapp_Anime_Infobox.png/revision/latest?cb=20250518184156,male,black,curly,round,round,smiling,light,none,muscular,adult,3,4,2,5,7,"muscular, smiling, scars, chain",강한 인상입니다.,human,short,medium,6,1,6,5
Totts,https://onepiece.fandom.com/wiki/Totts,https://static.wikia.nocookie.net/onepiece/images/8/8a/Totts_Anime_Infobox.png/revision/latest?cb=20250713155246,male,blonde,spiky,round,square,neutral,light,none,muscular,adult,3,5,2,4,6,"anime,muscular,spiky hair,neutral expression",재미있는 캐릭터입니다.,human,short,medium,4,1,5,6
Part,https://onepiece.fandom.com/wiki/Part,https://static.wikia.nocookie.net/onepiece/images/f/f3/Part_Anime_Infobox.png/revision/latest?cb=20250615155146,male,green,spiky,narrow,triangular,angry,light,none,muscular,adult,2,6,4,3,7,"angry,muscular,spiky hair",강한 인상을 주는 캐릭터입니다.,human,short,medium,3,5,6,8
Buccaneers,https://onepiece.fandom.com/wiki/Buccaneers,https://static.wikia.nocookie.net/onepiece/images/2/20/Buccaneers_Infobox.png/revision/latest?cb=20250518160016,male,black,curly,round,round,smiling,light,none,muscular,adult,4,5,2,6,7,"muscular, smiling, adult, anime",유쾌한 느낌의 캐릭터입니다.,human,short,medium,5,1,6,7
PX-Z,https://onepiece.fandom.com/wiki/PX-Z,https://static.wikia.nocookie.net/onepiece/images/5/56/PX-Z_Anime_Infobox.png/revision/latest?cb=20130318154501,male,gray,short,round,square,serious,light,none,muscular,adult,2,7,3,1,8,"muscular,serious,gray hair",강력한 느낌의 캐릭터입니다.,human,short,medium,5,2,6,7
